word,kelime,english_sentence,turkce_cumle
a,bir,This is a table.,Bu bir masa.
an,bir,This is an apple.,Bu bir elmadır.
ability,yetenek,He has the ability to do this job.,Bu işi yapma yeteneğine sahiptir.
able,hünerli,Are you able to lift this heavy suitcase?,Bu ağır bavulu kaldırabiliyor musunuz?
about,hakkında,This book is about Germany.,Bu kitap Almanya ile ilgili.
accept,kabul etmek,I accepted the wedding invitation.,Düğün davetiyesini kabul ettim.
accident,kaza,The car accident was very bad.,Araba kazası çok kötüydü.
by accident,kazayla,He broke the window by accident.,Pencereyi kazara kırdı.
across,karşısında,She walked across the park.,Parkın karşısında yürüdü.
act,davranmak,He is acting very strangely.,Çok garip davranıyor.
action,aksiyon,You are responsible for your actions.,Eylemlerinizden siz sorumlusunuz.
activity,aktivite,He enjoys all the activities in school.,Okuldaki tüm etkinliklerden hoşlanıyor.
add,eklemek,She added salt to the soup.,Çorbaya tuz ekledi.
address,adres,What is your address?,Adresiniz nedir?
adjective,sıfat,Beautiful is an adjective.,Güzel bir sıfattır.
advantage,avantaj,Speaking English is an advantage.,İngilizce konuşmak bir avantajdır.
aerial,hava,There are 10 TV aerials on the roof.,Çatıda 10 TV antial var.
aeroplane,uçak,This aeroplane flies to Australia.,Bu uçak Avustralya'ya uçuyor.
afraid,korkmuş,He is afraid of snakes.,Yılanlardan korkuyor.
after,sonrasında,After dinner they went to the cinema.,Akşam yemeğinden sonra sinemaya gittiler.
afternoon,öğleden sonra,He went out in the morning and came home in the afternoon.,Sabah dışarı çıktı ve öğleden sonra eve geldi.
again,Tekrar,Can you play that song again?,O şarkıyı tekrar çalabilir misin?
against,aykırı,He threw the ball against the wall.,Topu duvara attı.
age,yaş,Do you know my age?,Yaşımı biliyor musun?
ago,evvel,Two years ago I met him on the street.,İki yıl önce onunla sokakta tanıştım.
agree,kabul etmek,He doesn't agree with me.,Benimle aynı fikirde değil.
air,hava,He threw the ball into the air.,Topu havaya attı.
air-conditioner,klima,This car has automatic air-conditioner.,Bu arabanın otomatik klima var.
airline,havayolu,David always travels by United Airlines.,David her zaman United Airlines tarafından seyahat ediyor.
airplane,uçak,England has bought a lot of airplanes from France.,İngiltere Fransa'dan çok fazla uçak satın aldı.
alike,aynı,Those two bicycles look alike.,Bu iki bisiklet birbirine benziyor.
alive,canlı,Hey! This fish is still alive!,Hey! Bu balık hala yaşıyor!
all,Tümü,She put all her money in the bank.,Tüm parasını bankaya koydu.
all right,Elbette,He was all right after the accident.,Kazadan hemen sonra oldu.
allow,izin vermek,Smoking is not allowed here.,Burada sigara içilmesine izin verilmiyor.
almost,neredeyse,He almost died in the car crash.,Neredeyse araba kazasında öldü.
alone,yalnız,He lives alone.,Yalnız yaşıyor.
